"filename", "language", "C++", "CMake", "YAML", "Markdown", "Dart", "Swift", "HTML", "JSON", "XML", "JavaScript", "Properties", "comment", "blank", "total"
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\home_controller.dart", "Dart", 0, 0, 0, 0, 352, 0, 0, 0, 0, 0, 0, 21, 41, 414
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\home_view.dart", "Dart", 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 3, 9, 140
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\income\create\create_income_binding.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\income\create\create_income_controller.dart", "Dart", 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 35, 189
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\income\create\create_income_view.dart", "Dart", 0, 0, 0, 0, 387, 0, 0, 0, 0, 0, 0, 17, 9, 413
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\income\update\update_income_binding.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\income\update\update_income_controller.dart", "Dart", 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 4, 34, 195
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\income\update\update_income_view.dart", "Dart", 0, 0, 0, 0, 401, 0, 0, 0, 0, 0, 0, 0, 8, 409
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\refueling\create\create_refueling_binding.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\refueling\create\create_refueling_controller.dart", "Dart", 0, 0, 0, 0, 256, 0, 0, 0, 0, 0, 0, 7, 48, 311
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\refueling\create\create_refueling_view.dart", "Dart", 0, 0, 0, 0, 657, 0, 0, 0, 0, 0, 0, 1, 9, 667
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\refueling\update\update_refueling_binding.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\refueling\update\update_refueling_controller.dart", "Dart", 0, 0, 0, 0, 267, 0, 0, 0, 0, 0, 0, 1, 45, 313
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\refueling\update\update_refueling_view.dart", "Dart", 0, 0, 0, 0, 642, 0, 0, 0, 0, 0, 0, 0, 8, 650
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\route\create\create_route_binding.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\route\create\create_route_controller.dart", "Dart", 0, 0, 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 37, 243
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\route\create\create_route_view.dart", "Dart", 0, 0, 0, 0, 570, 0, 0, 0, 0, 0, 0, 5, 8, 583
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\route\update\update_route_binding.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\route\update\update_route_controller.dart", "Dart", 0, 0, 0, 0, 211, 0, 0, 0, 0, 0, 0, 2, 38, 251
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\route\update\update_route_view.dart", "Dart", 0, 0, 0, 0, 566, 0, 0, 0, 0, 0, 0, 0, 8, 574
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\service\create\create_service_binding.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\service\create\create_service_controller.dart", "Dart", 0, 0, 0, 0, 180, 0, 0, 0, 0, 0, 0, 0, 38, 218
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\service\create\create_service_view.dart", "Dart", 0, 0, 0, 0, 582, 0, 0, 0, 0, 0, 0, 27, 9, 618
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\service\type\service_type_binding.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\service\type\service_type_controller.dart", "Dart", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 21, 109
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\service\type\service_type_view.dart", "Dart", 0, 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 35, 4, 213
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\service\update\update_service_binding.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\service\update\update_service_controller.dart", "Dart", 0, 0, 0, 0, 188, 0, 0, 0, 0, 0, 0, 3, 36, 227
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\home\service\update\update_service_view.dart", "Dart", 0, 0, 0, 0, 589, 0, 0, 0, 0, 0, 0, 0, 8, 597
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\more\about_us\about_us_bindings.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\more\about_us\about_us_controller.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 2, 14, 46
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\more\about_us\about_us_view.dart", "Dart", 0, 0, 0, 0, 294, 0, 0, 0, 0, 0, 0, 8, 12, 314
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\more\general\create\create_general_bindings.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\more\general\create\create_general_controller.dart", "Dart", 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 2, 20, 118
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\more\general\create\create_general_view.dart", "Dart", 0, 0, 0, 0, 332, 0, 0, 0, 0, 0, 0, 0, 11, 343
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\more\general\general_bindings.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\more\general\general_controller.dart", "Dart", 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 23, 161
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\more\general\general_view.dart", "Dart", 0, 0, 0, 0, 207, 0, 0, 0, 0, 0, 0, 1, 4, 212
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\more\more_controller.dart", "Dart", 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 3, 13, 178
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\more\more_view.dart", "Dart", 0, 0, 0, 0, 456, 0, 0, 0, 0, 0, 0, 39, 7, 502
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\more\plan\plan_bindings.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\more\plan\plan_controller.dart", "Dart", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 6, 22
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\more\plan\plan_view.dart", "Dart", 0, 0, 0, 0, 312, 0, 0, 0, 0, 0, 0, 0, 6, 318
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\modules\admin\more\user-vehicle\create\create_user_vehicle_bindings.dart", "Dart", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
